name,phone_number,location,email,website
Heally-Online,(650) 300-4334,"Manhattan, New York",info@getheally.com,http://heallymd.com/
NY Medical Marijuana Associates,(516) 537-8520,"New York, New York",nymedimarijuana@gmail.com,http://www.nymedimarijuana.com
RiseUpMD.com,(866) 847-7205,"Manhattan, New York",hello@riseupmd.com,https://riseupmd.com/md/new-york
PrestoDoctor.com (100% Online),(650) 542-0420,"Manhattan, New York",team@prestodoctor.com,https://doctor.to/weedmaps
Fp Wellness Manhattan (NYC),(212) 689-8676,"New York, New York",mark@fpnys.com,http://fpwellnessny.com/fp-wellness-manhattan-marijuana-dispensary-nyc-ny/
Etain - NYC,(914) 437-7898,"New York, New York",info@etainhealth.com,http://etainhealth.com
Columbia Care - New York City,(646) 453-7178,"New York, New York",NYC@col-care.com,http://col-care.com/location/manhattan
MedMen NYC - Fifth Avenue,(646) 846-5551,"New York, New York",info.manhattan@medmen.com,https://medmen.com/stores/nyc-fifth-avenue-bryant-park
Curaleaf Delivery,1-833-470-5323,"New York, New York",queens@curaleaf.com,https://curaleaf.com/stores/pl/curaleaf-queens-11375/
Curaleaf Delivery,1-833-470-5323,"New York, New York",queens@curaleaf.com,https://curaleaf.com/stores/pl/curaleaf-queens-11375/
Curaleaf Delivery,1-833-470-5323,"New York, New York",queens@curaleaf.com,https://curaleaf.com/stores/pl/curaleaf-queens-11375/
Curaleaf Delivery,1-833-470-5323,"New York, New York",queens@curaleaf.com,https://curaleaf.com/stores/pl/curaleaf-queens-11375/
Curaleaf Delivery,1-833-470-5323,"New York, New York",queens@curaleaf.com,https://curaleaf.com/stores/pl/curaleaf-queens-11375/
Curaleaf Delivery,1-833-470-5323,"New York, New York",queens@curaleaf.com,https://curaleaf.com/stores/pl/curaleaf-queens-11375/
Vireo Manhattan Delivery,844-484-7366  ,"Manhattan, New York",patients@vireohealth.com,https://vireohealth.com/ny/
Curaleaf Delivery,1-833-470-5323,"New York, New York",queens@curaleaf.com,https://curaleaf.com/stores/pl/curaleaf-queens-11375/
Curaleaf Delivery,1-833-470-5323,"New York, New York",queens@curaleaf.com,https://curaleaf.com/stores/pl/curaleaf-queens-11375/
Vireo Delivery Upper Manhattan,844-484-7366  ,"New York, New York",patients@vireohealth.com,https://vireohealth.com/ny/
Vireo Lower Manhattan Delivery,844-484-7366  ,"New York, New York",patients@vireohealth.com,https://vireohealth.com/ny/
Curaleaf Delivery,1-833-470-5323,"New York, New York",queens@curaleaf.com,https://curaleaf.com/stores/pl/curaleaf-queens-11375/
Curaleaf Delivery,1-833-470-5323,"New York, New York",queens@curaleaf.com,https://curaleaf.com/stores/pl/curaleaf-queens-11375/
OnlineMedicalCard.com (100% Online),888 988 8420,"Manhattan, New York",contact@onlinemedicalcard.com,http://www.fastmedicalcardonline.com/newyork
Medical Marijuana Card Doctors Hollywood Easy Clinic,(646) 415-8762,"New York, New York",doc@e-zclinic.com,https://medicalcannabiscultivation.com
Dr. Thomas O'brien,(212) 201-9122,"New York, New York",DrTobrien@aol.com,http://www.DocTommy.com
New York Pain Medicine and Physical Therapy,(212) 245-7900,"New York, New York",douglas.allen@nypainmedicine.com,http://nypainmedicine.com/
QuickMedCards.com,(207) 645-1646,"Manhattan, New York",staff@quickmedcards.com,https://QuickMedCards.com
Marijuana Care,(646) 368-8930,"New York, New York",hello@marijuana-care.com,http://www.marijuana-care.com
Dr. Kevin Jovanovic,(212) 249-6709,"New York, New York",,
"Pro-Medical New York, PLLC",(212) 426-6287,"New York, New York",info@promedicalnewyork.com,http://www.promedicalnewyork.com/
"Dr. Melinda L. Mingus MD, PLLC",(646) 522-1451,"New York, New York",mmingus@gmail.com,
Dr. Pamela Barton,(212) 252-2305,"New York, New York",pamela@doctorbarton.com,http://www.doctorbarton.com/
Rebecca Siegel MD,(917) 656-2210,"New York, New York",rlsiegelmd@mac.com,http://www.drrebeccasiegel.com
Dr. Mary R Clifton,(231) 342-6132,"New York, New York",drmary@drmarymd.com,http://drmarymd.com
Carnegie Hill Institute,(212) 289-7166,"New York, New York",test@test.com,http://www.carnegiehill.com/
Dr. Subhash Jain,(212) 439-6100,"New York, New York",,
Dr. Shapiro,(212) 935-5333,"New York, New York",info@drhowardshapiro.com,http://pictureperfectweightloss.com/
QOL Clinic,(646) 577-1664,"New York, New York",steve@qolclinic.com,
Dr. Jeffrey S. Crespin,(646) 660-4006,"New York, New York",,
Dr. Yuri Brosgol,(718) 648-4567,"New York, New York",ybrosgol@optonline.net,http://www.childneurologynewyork.com
East Side Oncology Associates,(212) 879-3496,"New York, New York",,
Dr. Jeffrey S. Crespin,(646) 660-4006,"New York, New York",,http://jeffreycrespinmd.com/
CheapMedCards.com,800-919-6583,"Manhattan, New York",info@cheapmedcards.com,http://www.cheapmedcards.com
Memorial Sloan Kettering Cancer Center,(646) 888-0200,"New York, New York",,
Dr. Ramon J. Pesigan,(212) 489-1939,"New York, New York",,
Midtown Direct Medical Care,(917) 902-9777,"New York, New York",officemanager@midtownhealthnyc.com,http://nyc-doctor.com/
"New Medical Treatment Initiative, PLLC",(212) 297-6105,"New York, New York",office@nmti.nyc,http://nmti.nyc/
Dr. Juliann M. Paolicchi,(212) 661-7460,"New York, New York",,
"Dr. Randa Jaafar, MD",(212) 991-9991,"New York, New York",,
MMJ DOCTORS,(888) 578-6704,"New York, New York",info@mmjdoctors.com,https://mmjdoctors.com/new-york/
Mobile Cannabis Connect,(914) 329-9651,"Manhattan, New York",carolkellyfnp@gmail.com,http://cannabisconnect.info
NYU Comprehensive Epilepsy Center,(646) 558-0803,"New York, New York",,
Dr. Matthew B. Smith,(212) 213-8104,"New York, New York",,
Dr. Edward J. Greaney,(212) 726-7488,"New York, New York",,
Cannabis Doctors of New York,(917) 261-6025,"New York, New York",info@cannabisdoctorsofnewyork.com,http://www.cannabisdoctorsofnewyork.com/
Dr. Susan Scharf M.D.,(646) 263-1931,"New York, New York",susanscharfmd@gmail.com,http://susanscharfmd.com
Dr James Goodrich (House Calls),(212) 545-9676,"New York, New York",drjimgoodrich@gmail.com,
Irving Place Surgery and Wellness Center,(646) 604-8969,"New York, New York",,http://www.ipswcny.com/
Dr. Karan Johar,(212) 371-8460,"New York, New York",,
Dr. Leopold D. Galland,(212) 989-6733,"New York, New York",,
Dr. Jean-Yves Dastain,(212) 491-0100,"New York, New York",jdastain@gmail.com,http://dastain.com/
Dr. Michael L. Salitan,(212) 219-7600,"New York, New York",,
Dr. Craig Blinderman,(212) 305-7340,"New York, New York",,
